CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Churn,Number of Dependents,Mobile App Usage,Marketing Number of Cold Call,Marketing Number of Email,Marketing Number of SMS
7590-VHVEG,0,0.0,Yes,No,,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,,Electronic check,29.85,No,0.0,Yes,,4.0,13.0
5575-GNVDE,1,0.0,,No,,Yes,No,DSL,Yes,No,Yes,No,,No,One year,No,Mailed check,56.95,No,0.0,Yes,,96.0,
3668-QPYBK,1,0.0,No,No,2.0,,No,DSL,Yes,Yes,No,No,No,,Month-to-month,Yes,Mailed check,53.85,Yes,0.0,,14.0,8.0,
9237-HQITU,0,,No,No,2.0,,No,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,70.7,Yes,0.0,No,9.0,6.0,25.0
9305-CDSKC,0,0.0,No,,,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,,Electronic check,99.65,Yes,,Yes,44.0,,81.0
1452-KIOVK,1,0.0,No,,22.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,,Credit card (automatic),89.1,No,1.0,,65.0,57.0,281.0
6713-OKOMC,0,0.0,No,No,10.0,No,No phone service,DSL,Yes,,No,No,No,,Month-to-month,No,Mailed check,29.75,No,0.0,,37.0,,
7892-POOKP,0,,,,28.0,,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,Yes,0.0,,,3.0,205.0
9763-GRSKD,1,0.0,Yes,,13.0,Yes,No,DSL,Yes,,No,No,No,No,Month-to-month,,Mailed check,49.95,No,1.0,Yes,43.0,,
7469-LKBCI,1,0.0,,,16.0,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,,Credit card (automatic),18.95,No,,,,,
0280-XJGEX,1,0.0,,No,49.0,,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,Yes,,,432.0,374.0,538.0
5129-JLPIS,1,0.0,No,No,,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,No,0.0,Yes,65.0,53.0,
8191-XWSZG,0,0.0,No,,,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,No,Mailed check,20.65,No,0.0,,111.0,,576.0
9959-WOFKT,1,0.0,No,Yes,,Yes,Yes,,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,No,1.0,No,177.0,175.0,724.0
