id,emirates,established_year,furnish_status,monthly_rent_aed,num_of_bathroom,num_of_parking_space,num_of_rooms,property_facilities,property_location,property_name,property_size,property_type
2402,Abu Dhabi,2007.0,Partially Furnished,1326.0,2.0,,3.0,"Security, Swimming Pool, Gymnasium, Multipurpose hall, Minimart, Lift, Parking, Playground, Air-Cond, Cooking Allowed, Near MRT, Washing Machine",Abu Dhabi - Wadi Alshabak,Residensi Laguna (Belvedere Service Apt),950.0,Service Residence
8476,Dubai,2021.0,Partially Furnished,1092.0,2.0,,3,"Barbeque area, Sauna, Security, Swimming Pool, Minimart, Gymnasium, Squash Court, Parking, Jogging Track, Lift, Playground, Tennis Court",Dubai - Jumeirah,"SkyAwani 3 Residence, Setapak",800.0,Condominium
9659,Dubai,2015.0,Fully Furnished,1248.0,1.0,,1,"Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium, Barbeque area, Air-Cond, Washing Machine",Dubai - Al Baraha,3 Towers,429.0,Service Residence
2801,Abu Dhabi,,Partially Furnished,780.0,2.0,,2.0,,Abu Dhabi - Al Mankhool,Mutiara Court,880.0,Apartment
12528,Dubai,1993.0,Partially Furnished,1014.0,2.0,1.0,3,"Swimming Pool, Jogging Track, Security, Playground, Parking, Minimart, Lift, Barbeque area, Air-Cond, Cooking Allowed",Dubai - Mushraif,Avenue Court,950.0,Apartment
5008,Dubai,,Fully Furnished,1092.0,1.0,1.0,2,"Lift, Security, Parking, Playground, Gymnasium, Minimart, Barbeque area, Cooking Allowed, Washing Machine, Air-Cond",Dubai - Al Rigga,Residensi Alam Damai (PR1MA @ Alam Damai),657.0,Apartment
2313,Dubai,2015.0,Fully Furnished,1404.0,2.0,,2,"Security, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Playground",Dubai - Trade Centre 1,Central Residence @ Sg Besi,1060.0,Apartment
7988,Dubai,,Fully Furnished,1560.0,2.0,1.0,3,"Security, Playground, Air-Cond, Cooking Allowed, Washing Machine",Dubai - Hor Al Anz,Sofiya Residences,862.0,Condominium
17804,Abu Dhabi,2020.0,Fully Furnished,1170.0,2.0,2.0,3.0,"Swimming Pool, Lift, Parking, Security, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track, Air-Cond, Cooking Allowed, Washing Machine",Abu Dhabi - Al O'shoosh,The Olive,818.0,Condominium
9560,Abu Dhabi,2020.0,Fully Furnished,2184.0,2.0,,3.0,"Parking, Sauna, Security, Gymnasium, Jogging Track, Barbeque area, Playground, Squash Court, Lift, Minimart, Swimming Pool, Tennis Court, Air-Cond, Cooking Allowed, Near MRT, Washing Machine, Internet",Abu Dhabi - Ghadeer Barashy,Setia City Residences,858.0,Service Residence
16246,Abu Dhabi,,Not Furnished,585.0,2.0,5.0,3.0,"Cooking Allowed, Near MRT",Abu Dhabi - Al Meryal,Blok B Pangsapuri Taman Harmoni 2 Bandar Teknologi Kajang Selangor,850.0,Apartment
18246,Abu Dhabi,2017.0,Partially Furnished,1404.0,2.0,2.0,4.0,"Gymnasium, Minimart, Swimming Pool, Lift, Security, Playground, Parking",Abu Dhabi - Al O'shoosh,Ehsan Residence @ Sepang,1135.0,Condominium
15378,Dubai,2010.0,Partially Furnished,1014.0,2.0,1.0,3,"Jogging Track, Security, Swimming Pool, Parking, Playground",Dubai - Al Rigga,Casa Ria (Cheras),1100.0,Condominium
13140,Dubai,,Not Furnished,858.0,2.0,1.0,3,"Lift, Security, Parking, Swimming Pool, Playground, Minimart",Dubai - Al Rigga,Laman Midah,800.0,Condominium
7942,Abu Dhabi,,Partially Furnished,1170.0,2.0,2.0,3.0,"Parking, Security, Swimming Pool, Lift, Playground, Jogging Track, Air-Cond, Cooking Allowed",Abu Dhabi - Mereiyeel,,850.0,Service Residence
2019,Abu Dhabi,2001.0,Partially Furnished,858.0,2.0,,3.0,"Tennis Court, Barbeque area, Gymnasium, Parking, Minimart, Playground, Security, Swimming Pool, Cooking Allowed",Abu Dhabi - Al Meryal,Green Acre Park,1012.0,Condominium
7234,Abu Dhabi,,Partially Furnished,936.0,2.0,1.0,3.0,"Jogging Track, Tennis Court, Squash Court, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Air-Cond, Cooking Allowed, Near MRT, Washing Machine",Abu Dhabi - Al Meryal,Taman Taming Indah,900.0,Apartment
